Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(F)     float   x64     00001   01182   4,0192  2,4338
Java_ver(F)     float   x64     00002   01182   4,2732  2,5876
Java_ver(F)     float   x64     00003   01182   4,2403  2,5677
Java_ver(F)     float   x64     00004   01182   3,9064  2,3655

Testing matrix size: 1672
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   01672   3,7645  9,9262
Java_ver(A)     float   x64     00001   01672   3,6394  9,5962
Java_ver(A)     float   x64     00002   01672   4,0477  10,6728
Java_ver(A)     float   x64     00003   01672   4,1715  10,9994
Java_ver(A)     float   x64     00004   01672   4,2034  11,0835
Java_ver(B)     float   x64     00000   01672   4,7166  12,4367
Java_ver(B)     float   x64     00001   01672   4,7640  12,5618
Java_ver(B)     float   x64     00002   01672   5,2264  13,7808
Java_ver(B)     float   x64     00003   01672   5,3569  14,1251
Java_ver(B)     float   x64     00004   01672   5,0544  13,3273
Java_ver(C)     float   x64     00000   01672   1,4924  3,9351
Java_ver(C)     float   x64     00001   01672   1,4498  3,8227
Java_ver(C)     float   x64     00002   01672   1,2593  3,3204
Java_ver(C)     float   x64     00003   01672   1,2962  3,4178
Java_ver(C)     float   x64     00004   01672   1,3369  3,5251
Java_ver(D)     float   x64     00000   01672   1,3063  3,4446
Java_ver(D)     float   x64     00001   01672   1,2619  3,3274
Java_ver(D)     float   x64     00002   01672   1,4045  3,7032
Java_ver(D)     float   x64     00003   01672   1,3644  3,5977
Java_ver(D)     float   x64     00004   01672   1,4299  3,7704
Java_ver(E)     float   x64     00000   01672   10,8513 28,6127
Java_ver(E)     float   x64     00001   01672   10,4261 27,4914
Java_ver(E)     float   x64     00002   01672   9,3098  24,5481
Java_ver(E)     float   x64     00003   01672   9,4408  24,8934
Java_ver(E)     float   x64     00004   01672   9,3685  24,7028
Java_ver(F)     float   x64     00000   01672   10,3832 27,3783
Java_ver(F)     float   x64     00001   01672   10,2945 27,1444
Java_ver(F)     float   x64     00002   01672   10,2803 27,1071
Java_ver(F)     float   x64     00003   01672   10,1218 26,6891
Java_ver(F)     float   x64     00004   01672   10,2267 26,9657

Running double version...

Testing matrix size: 91  
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00091   0,0036  4,8265
Java_ver(A)     double  x64     00001   00091   0,0005  0,6533
Java_ver(A)     double  x64     00002   00091   0,0006  0,8344
Java_ver(A)     double  x64     00003   00091   0,0005  0,6359
Java_ver(A)     double  x64     00004   00091   0,0005  0,6420
Java_ver(B)     double  x64     00000   00091   0,0027  3,5539
Java_ver(B)     double  x64     00001   00091   0,0013  1,7339
Java_ver(B)     double  x64     00002   00091   0,0012  1,6276
